iter	Logloss
0	0.6809880779
1	0.6712221399
2	0.6607790302
3	0.6498360621
4	0.6390061741
5	0.6297306841
6	0.6210053951
7	0.6136399776
8	0.6064770795
9	0.5990012656
10	0.5928397471
11	0.5867563651
12	0.5803951329
13	0.5732852867
14	0.5672475101
15	0.5623734118
16	0.5579061263
17	0.5520604115
18	0.5472064112
19	0.5435389874
20	0.5392559704
21	0.5359972276
22	0.5317490576
23	0.5283219619
24	0.5251189302
25	0.5207985842
26	0.5175138947
27	0.5150479584
28	0.51171856
29	0.5078444228
30	0.5052265007
31	0.502552514
32	0.4998027697
33	0.4974501914
34	0.4947951981
35	0.4921093363
36	0.4904445016
37	0.4887068449
38	0.4872582279
39	0.4853043343
40	0.4826157804
41	0.4809960251
42	0.4792863343
43	0.477543821
44	0.475892527
45	0.4740616373
46	0.4722597686
47	0.4699441813
48	0.4684075611
49	0.4669099058
50	0.4653743205
51	0.4642531366
52	0.4627377531
53	0.4613090224
54	0.4599887075
55	0.4589340584
56	0.457529841
57	0.4561752361
58	0.4551775027
59	0.4536106062
60	0.4522386898
61	0.4509705045
62	0.4500927666
63	0.4492646508
64	0.4476094515
65	0.4465116454
66	0.4455360479
67	0.4447467295
68	0.4433956246
69	0.4423919058
70	0.441591739
71	0.440675672
72	0.4390141907
73	0.4382179046
74	0.4375818221
75	0.4367117237
76	0.4359215791
77	0.4350118647
78	0.4339247861
79	0.4328399181
80	0.4321659595
81	0.4308497885
82	0.4299124093
83	0.4283053869
84	0.4277486791
85	0.4272315972
86	0.4265190688
87	0.4257073835
88	0.4248226592
89	0.4240448741
90	0.4232360986
91	0.4227149593
92	0.4220538455
93	0.4213920724
94	0.420769473
95	0.4200448093
96	0.4194598925
97	0.4187689493
98	0.4182913885
99	0.4175055255
100	0.4168270671
101	0.416211686
102	0.4154643871
103	0.4149274207
104	0.414279656
105	0.4137467888
106	0.4133675807
107	0.412665446
108	0.4120395168
109	0.4115277519
110	0.4110584129
111	0.4105514765
112	0.4098901999
113	0.4095366416
114	0.4089656345
115	0.4085090415
116	0.4082590954
117	0.4077219272
118	0.4070115457
119	0.4064796249
120	0.406048767
121	0.4056039075
122	0.4051226632
123	0.4048426467
124	0.404332752
125	0.4039636269
126	0.4035765536
127	0.4030917393
128	0.4024558675
129	0.4021008747
130	0.4017139807
131	0.4013120985
132	0.4009743675
133	0.4006434298
134	0.4003896564
135	0.3999930659
136	0.399532525
