iter	Logloss
0	0.6791322548
1	0.6654226853
2	0.6553376555
3	0.6446045796
4	0.6342256074
5	0.6252890745
6	0.6154397602
7	0.6068311196
8	0.5995254985
9	0.5921044223
10	0.5852985655
11	0.5786320661
12	0.5731519453
13	0.5678846363
14	0.5620909771
15	0.5570269938
16	0.552539412
17	0.547340003
18	0.5421901461
19	0.5381901591
20	0.5335534843
21	0.5290742652
22	0.5261058222
23	0.523129391
24	0.5178982163
25	0.5144247667
26	0.5113008651
27	0.5079866811
28	0.505733373
29	0.5031489585
30	0.5008091839
31	0.4984229464
32	0.4961916684
33	0.4940199901
34	0.4921360445
35	0.4893904298
36	0.4874720661
37	0.4854198994
38	0.4833438304
39	0.4801656649
40	0.4778404314
41	0.4757612732
42	0.473466058
43	0.4714836635
44	0.4695789049
45	0.4680681911
46	0.4663241334
47	0.4648264629
48	0.4633384658
49	0.4613291735
50	0.4601604875
51	0.4588251718
52	0.4572779494
53	0.4556996476
54	0.4548443753
55	0.4541156043
56	0.45286429
57	0.4516359419
58	0.4505020797
59	0.4491501635
60	0.4473717188
61	0.4464740714
62	0.4454320116
63	0.4446969998
64	0.4436975335
65	0.4425251655
66	0.4414506534
67	0.4402846198
68	0.4391696985
69	0.4380211079
70	0.4371514818
71	0.4365129529
72	0.4353823047
73	0.4343151256
74	0.4332811164
75	0.4322172762
76	0.4311096878
77	0.4302933582
78	0.4294910392
79	0.4287015763
80	0.4278149127
81	0.4272092105
82	0.4263981544
83	0.4254554795
84	0.4248469066
85	0.423949228
86	0.4233336029
87	0.4226641509
88	0.4219357231
89	0.4211140888
90	0.4203370139
91	0.4191998753
92	0.4186627909
93	0.4181324465
94	0.417440902
95	0.4166883223
96	0.4159640759
97	0.4151772341
98	0.4143533219
99	0.4137037156
100	0.4127487775
101	0.4121178001
102	0.4116557927
103	0.4111898535
104	0.4107419503
105	0.410490664
106	0.4100748698
107	0.4096806376
108	0.4090212332
109	0.4085546076
110	0.4081147239
111	0.4076321218
112	0.4072905932
113	0.4069629505
114	0.4065239405
115	0.4058313038
116	0.405556708
117	0.405047208
118	0.4046665184
119	0.4042236078
120	0.4037813214
121	0.4033478345
122	0.4030074293
123	0.4025242343
124	0.4020805125
125	0.4015770037
126	0.4010976468
127	0.4006117994
128	0.3998682065
129	0.3995003105
130	0.3992104872
131	0.3988358511
132	0.3983644201
133	0.3979100264
134	0.3972939021
135	0.3968871883
136	0.3966444519
137	0.3963833986
138	0.3960468004
139	0.3957748881
140	0.395517829
141	0.395102222
142	0.3948696269
143	0.3944098662
144	0.3938868236
145	0.393380288
146	0.3929888329
147	0.3926612838
148	0.3923285549
149	0.3919481773
150	0.3916871241
151	0.3914510653
152	0.3912149441
153	0.3908229274
154	0.3904168689
155	0.3902176621
156	0.3899152323
157	0.3895525786
158	0.3893225422
159	0.3890152758
160	0.3887837416
161	0.3885526131
162	0.3883087221
163	0.3879958077
164	0.387616491
165	0.387358371
166	0.387025798
167	0.3868437223
168	0.3866373386
169	0.3861896226
170	0.3859794008
171	0.3855824227
172	0.3853898936
173	0.3851032842
174	0.3848176422
175	0.3845818018
176	0.3843346656
177	0.3841245998
178	0.3838504409
179	0.383452277
180	0.3830280577
181	0.3826836896
182	0.3824574601
183	0.3821342484
184	0.3819862787
185	0.3816249356
186	0.38149029
187	0.3811161221
188	0.3808406526
189	0.3804587148
190	0.3802297393
191	0.3800555582
192	0.379789606
193	0.3796450687
194	0.3794137842
195	0.3792193516
196	0.3790038563
197	0.3788251818
198	0.3785772655
199	0.3783573705
200	0.3782030975
201	0.3780443624
202	0.3778803851
203	0.3777250512
204	0.3775089006
205	0.3773354996
206	0.3771672161
207	0.3769555589
208	0.3767975415
209	0.3765306531
210	0.376244543
211	0.3760058007
212	0.3758628861
213	0.3757274292
214	0.3754870331
215	0.3753259577
216	0.3751179514
217	0.374627049
218	0.3744623227
219	0.3743104525
220	0.3740606952
221	0.3739292636
222	0.3736147578
223	0.3734588935
224	0.3729518274
225	0.3727927803
226	0.3726618792
227	0.3724246971
228	0.372137214
229	0.3719054926
230	0.3717361169
231	0.3715823433
232	0.3714107833
233	0.3711082911
234	0.3708521681
235	0.3706912175
236	0.3704982204
237	0.3702606638
238	0.3701107595
239	0.3698565711
240	0.3694423059
241	0.3691431525
242	0.3689047222
243	0.3687110074
244	0.3685874081
245	0.368484341
246	0.3682466285
247	0.3680682972
248	0.3678461867
249	0.3676750636
250	0.3675828555
251	0.367423746
252	0.3672966518
253	0.3671885921
254	0.3669849856
255	0.3668896572
256	0.3666967224
257	0.3665927817
258	0.3664622863
259	0.3662655446
260	0.3661102732
261	0.3657795413
262	0.3655621737
263	0.3653605642
264	0.3651435088
265	0.3649847737
266	0.364903175
267	0.3646733571
268	0.3645287262
269	0.3642591543
270	0.3641006688
271	0.3639392814
272	0.3637557391
273	0.3635281366
274	0.3634212314
275	0.3632170008
276	0.3630697176
277	0.3629524839
278	0.3627837323
279	0.3625900487
280	0.3623688431
281	0.3622299226
282	0.3621040453
